basic,advanced,reason
good,excellent / outstanding / superb,good 太过口语化和宽泛，建议使用更具表现力的形容词
bad,detrimental / negative / adverse,bad 缺乏学术感，尤其在分析坏处时显得单薄
very,exceedingly / extremely / highly,very 是典型初中词汇，高级副词能瞬间拉升句子档次
important,crucial / vital / of great significance,important 使用频率极高，极易引起阅卷老师的审美疲劳
think,hold the view that / maintain,think 过于主观随意，书面表达应体现严谨的思考
happy,delighted / thrilled / overjoyed,happy 过于平淡，高级词汇更能体现强烈的情感张力
sad,depressed / sorrowful / downhearted,sad 表达的情感过于浅层
big,massive / enormous / tremendous,big 显得词汇量匮乏，缺乏画面的冲击力
beautiful,gorgeous / magnificent / breathtaking,beautiful 缺乏具体的美感描述，太过万金油
clear,obvious / evident / apparent,clear 作为形容词在论述时不够正式
famous,renowned / distinguished / celebrated,famous 略显普通，替换词更显人物地位的尊贵
interesting,fascinating / captivating / engaging,interesting 太过烂大街，无法准确表达“引人入胜”之意
show,indicate / demonstrate / illustrate,show 过于口语化，高级动词更能体现逻辑性
use,utilize / make full use of,use 在正式文体中显得过于单薄
help,assist / be of great assistance to,help 作为动词太普通，转化为名词短语更地道
change,alter / transform,change 过于笼统，transform更强调彻底的改变
get,acquire / obtain,get 是典型的万能敷衍动词，表达不够精准
need,require / demand,need 缺乏正式文本的严肃感和迫切感
many,a multitude of / an abundance of,many 作为量词不够高级，且容易与别人撞词
also,additionally / furthermore / what's more,also 极其单调，高级连接词能让文章逻辑衔接更丝滑
